Title,Top ten European-Union countries of domicile (excluding the UK) in 2016/17 for HE student enrolments,,,
Location,UK,,,
Time period,2012/13 to 2016/17,,,
Data source,HESA,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sfr247/figure-10,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sfr247/figure-10.csv,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,
Code page,ISO 8859-1,,,
Last updated,Jan-18,,,
,,,,
Country of domicile,Country of HE provider,First year marker,Academic year,Student count
Slovakia,All,First year,2013/14,570.000
Slovakia,All,Other years,2013/14,835.000
Slovakia,All,All,2012/13,1415.000
Slovakia,All,First year,2012/13,595.000
Slovakia,All,Other years,2012/13,820.000
Slovakia,England,First year,2016/17,580.000
Slovakia,England,Other years,2016/17,595.000
Slovakia,England,All,2016/17,1180.000
Slovakia,England,First year,2015/16,415.000
Slovakia,England,Other years,2015/16,565.000
Slovakia,England,All,2015/16,980.000
Slovakia,England,First year,2014/15,445.000
Slovakia,England,Other years,2014/15,555.000
Slovakia,England,All,2014/15,1005.000
Slovakia,England,First year,2013/14,445.000
Slovakia,England,Other years,2013/14,600.000
Slovakia,England,All,2013/14,1040.000
Slovakia,England,First year,2012/13,440.000
Slovakia,England,Other years,2012/13,630.000
Slovakia,England,All,2012/13,1070.000
Slovakia,Northern Ireland,First year,2016/17,0.000
Slovakia,Northern Ireland,Other years,2016/17,0.000
Slovakia,Northern Ireland,All,2016/17,5.000
Slovakia,Northern Ireland,First year,2015/16,0.000
Slovakia,Northern Ireland,Other years,2015/16,0.000
Slovakia,Northern Ireland,All,2015/16,0.000
Slovakia,Northern Ireland,First year,2014/15,0.000
Slovakia,Northern Ireland,Other years,2014/15,5.000
Slovakia,Northern Ireland,All,2014/15,5.000
Slovakia,Northern Ireland,First year,2013/14,0.000
Slovakia,Northern Ireland,Other years,2013/14,5.000
Slovakia,Northern Ireland,All,2013/14,10.000
Slovakia,Northern Ireland,First year,2012/13,5.000
Slovakia,Northern Ireland,Other years,2012/13,5.000
Slovakia,Northern Ireland,All,2012/13,5.000
Slovakia,Scotland,First year,2016/17,165.000
Slovakia,Scotland,Other years,2016/17,285.000
Slovakia,Scotland,All,2016/17,450.000
Slovakia,Scotland,First year,2015/16,145.000
Slovakia,Scotland,Other years,2015/16,265.000
Slovakia,Scotland,All,2015/16,410.000
Slovakia,Scotland,First year,2014/15,145.000
Slovakia,Scotland,Other years,2014/15,235.000
Slovakia,Scotland,All,2014/15,375.000
Slovakia,Scotland,First year,2013/14,110.000
Slovakia,Scotland,Other years,2013/14,215.000
Slovakia,Scotland,All,2013/14,325.000
Slovakia,Scotland,First year,2012/13,135.000
Slovakia,Scotland,Other years,2012/13,165.000
Slovakia,Scotland,All,2012/13,305.000
Slovakia,Wales,First year,2016/17,35.000
Slovakia,Wales,Other years,2016/17,25.000
Slovakia,Wales,All,2016/17,60.000
Slovakia,Wales,First year,2015/16,20.000
Slovakia,Wales,Other years,2015/16,25.000
Slovakia,Wales,All,2015/16,45.000
Slovakia,Wales,First year,2014/15,10.000
Slovakia,Wales,Other years,2014/15,20.000
Slovakia,Wales,All,2014/15,30.000
Slovakia,Wales,First year,2013/14,15.000
Slovakia,Wales,Other years,2013/14,15.000
Slovakia,Wales,All,2013/14,30.000
Slovakia,Wales,First year,2012/13,15.000
Slovakia,Wales,Other years,2012/13,20.000
Slovakia,Wales,All,2012/13,35.000
Slovenia,All,All,2016/17,390.000
Slovenia,All,First year,2016/17,180.000
Slovenia,All,Other years,2016/17,210.000
Slovenia,All,All,2015/16,380.000
Slovenia,All,First year,2015/16,170.000
Slovenia,All,Other years,2015/16,210.000
Slovenia,All,All,2014/15,370.000
Slovenia,All,First year,2014/15,155.000
Slovenia,All,Other years,2014/15,210.000
Slovenia,All,All,2013/14,360.000
Slovenia,All,First year,2013/14,165.000
Slovenia,All,Other years,2013/14,190.000
Slovenia,All,All,2012/13,355.000
Slovenia,All,First year,2012/13,170.000
Slovenia,All,Other years,2012/13,185.000
Slovenia,England,First year,2016/17,130.000
Slovenia,England,Other years,2016/17,145.000
Slovenia,England,All,2016/17,275.000
Slovenia,England,First year,2015/16,130.000
Slovenia,England,Other years,2015/16,165.000
Slovenia,England,All,2015/16,295.000
Slovenia,England,First year,2014/15,110.000
Slovenia,England,Other years,2014/15,170.000
Slovenia,England,All,2014/15,285.000
Slovenia,England,First year,2013/14,135.000
Slovenia,England,Other years,2013/14,160.000
Slovenia,England,All,2013/14,295.000
Slovenia,England,First year,2012/13,150.000
Slovenia,England,Other years,2012/13,150.000
Slovenia,England,All,2012/13,295.000
Slovenia,Northern Ireland,First year,2016/17,0.000
Slovenia,Northern Ireland,Other years,2016/17,0.000
Slovenia,Northern Ireland,All,2016/17,0.000
Slovenia,Northern Ireland,First year,2015/16,0.000
Slovenia,Northern Ireland,Other years,2015/16,0.000
Slovenia,Northern Ireland,All,2015/16,0.000
Slovenia,Northern Ireland,First year,2014/15,0.000
Slovenia,Northern Ireland,Other years,2014/15,0.000
Slovenia,Northern Ireland,All,2014/15,0.000
Slovenia,Northern Ireland,First year,2013/14,0.000
Slovenia,Northern Ireland,Other years,2013/14,0.000
Slovenia,Northern Ireland,All,2013/14,0.000
Slovenia,Northern Ireland,First year,2012/13,0.000
Slovenia,Northern Ireland,Other years,2012/13,0.000
Slovenia,Northern Ireland,All,2012/13,0.000
Slovenia,Scotland,First year,2016/17,45.000
Slovenia,Scotland,Other years,2016/17,55.000
Slovenia,Scotland,All,2016/17,105.000
Slovenia,Scotland,First year,2015/16,40.000
Slovenia,Scotland,Other years,2015/16,40.000
Slovenia,Scotland,All,2015/16,80.000
Slovenia,Scotland,First year,2014/15,40.000
Slovenia,Scotland,Other years,2014/15,35.000
Slovenia,Scotland,All,2014/15,70.000
Slovenia,Scotland,First year,2013/14,30.000
Slovenia,Scotland,Other years,2013/14,20.000
Slovenia,Scotland,All,2013/14,50.000
Slovenia,Scotland,First year,2012/13,15.000
Slovenia,Scotland,Other years,2012/13,30.000
Slovenia,Scotland,All,2012/13,45.000
Slovenia,Wales,First year,2016/17,10.000
Slovenia,Wales,Other years,2016/17,5.000
Slovenia,Wales,All,2016/17,15.000
Slovenia,Wales,First year,2015/16,0.000
Slovenia,Wales,Other years,2015/16,5.000
Slovenia,Wales,All,2015/16,10.000
Slovenia,Wales,First year,2014/15,5.000
Slovenia,Wales,Other years,2014/15,5.000
Slovenia,Wales,All,2014/15,15.000
Slovenia,Wales,First year,2013/14,5.000
Slovenia,Wales,Other years,2013/14,10.000
Slovenia,Wales,All,2013/14,15.000
Slovenia,Wales,First year,2012/13,5.000
Slovenia,Wales,Other years,2012/13,5.000
Slovenia,Wales,All,2012/13,10.000
Spain,All,All,2016/17,8820.000
Spain,All,First year,2016/17,4395.000
Spain,All,Other years,2016/17,4425.000
Spain,All,All,2015/16,7840.000
Spain,All,First year,2015/16,4020.000
Spain,All,Other years,2015/16,3820.000
Spain,All,All,2014/15,7040.000
Spain,All,First year,2014/15,3640.000
Spain,All,Other years,2014/15,3405.000
Spain,All,All,2013/14,6585.000
Spain,All,First year,2013/14,3515.000
Spain,All,Other years,2013/14,3070.000
Spain,All,All,2012/13,6005.000
Spain,All,First year,2012/13,3225.000
Spain,All,Other years,2012/13,2780.000
Spain,England,First year,2016/17,3600.000
Spain,England,Other years,2016/17,3580.000
Spain,England,All,2016/17,7185.000
Spain,England,First year,2015/16,3285.000
Spain,England,Other years,2015/16,3085.000
Spain,England,All,2015/16,6370.000
Spain,England,First year,2014/15,2895.000
Spain,England,Other years,2014/15,2810.000
Spain,England,All,2014/15,5705.000
Spain,England,First year,2013/14,2720.000
Spain,England,Other years,2013/14,2555.000
Spain,England,All,2013/14,5280.000
Spain,England,First year,2012/13,2365.000
Spain,England,Other years,2012/13,2425.000
Spain,England,All,2012/13,4795.000
Spain,Northern Ireland,First year,2016/17,15.000
Spain,Northern Ireland,Other years,2016/17,20.000
Spain,Northern Ireland,All,2016/17,35.000
Spain,Northern Ireland,First year,2015/16,20.000
Spain,Northern Ireland,Other years,2015/16,20.000
Spain,Northern Ireland,All,2015/16,40.000
Spain,Northern Ireland,First year,2014/15,15.000
Spain,Northern Ireland,Other years,2014/15,15.000
Spain,Northern Ireland,All,2014/15,30.000
Spain,Northern Ireland,First year,2013/14,10.000
Spain,Northern Ireland,Other years,2013/14,15.000
Spain,Northern Ireland,All,2013/14,25.000
Spain,Northern Ireland,First year,2012/13,10.000
Spain,Northern Ireland,Other years,2012/13,25.000
Spain,Northern Ireland,All,2012/13,35.000
Spain,Scotland,First year,2016/17,590.000
Spain,Scotland,Other years,2016/17,665.000
Spain,Scotland,All,2016/17,1250.000
Spain,Scotland,First year,2015/16,540.000
Spain,Scotland,Other years,2015/16,580.000
Spain,Scotland,All,2015/16,1120.000
Spain,Scotland,First year,2014/15,555.000
Spain,Scotland,Other years,2014/15,455.000
Spain,Scotland,All,2014/15,1005.000
Spain,Scotland,First year,2013/14,500.000
Spain,Scotland,Other years,2013/14,335.000
Spain,Scotland,All,2013/14,840.000
Spain,Scotland,First year,2012/13,425.000
Spain,Scotland,Other years,2012/13,255.000
Spain,Scotland,All,2012/13,680.000
Spain,Wales,First year,2016/17,190.000
Spain,Wales,Other years,2016/17,160.000
Spain,Wales,All,2016/17,350.000
Spain,Wales,First year,2015/16,175.000
Spain,Wales,Other years,2015/16,135.000
Spain,Wales,All,2015/16,310.000
Spain,Wales,First year,2014/15,175.000
Spain,Wales,Other years,2014/15,125.000
Spain,Wales,All,2014/15,300.000
Spain,Wales,First year,2013/14,280.000
Spain,Wales,Other years,2013/14,160.000
Spain,Wales,All,2013/14,440.000
Spain,Wales,First year,2012/13,420.000
Spain,Wales,Other years,2012/13,75.000
Spain,Wales,All,2012/13,495.000
Sweden,All,All,2016/17,2920.000
Sweden,All,First year,2016/17,1185.000
Sweden,All,Other years,2016/17,1735.000
Sweden,All,All,2015/16,3015.000
Sweden,All,First year,2015/16,1195.000
Sweden,All,Other years,2015/16,1820.000
Sweden,All,All,2014/15,3095.000
Sweden,All,First year,2014/15,1280.000
Sweden,All,Other years,2014/15,1815.000
Sweden,All,All,2013/14,3230.000
Sweden,All,First year,2013/14,1295.000
Sweden,All,Other years,2013/14,1930.000
Sweden,All,All,2012/13,3310.000
Sweden,All,First year,2012/13,1270.000
Sweden,All,Other years,2012/13,2035.000
Sweden,England,First year,2016/17,870.000
Sweden,England,Other years,2016/17,1155.000
Sweden,England,All,2016/17,2025.000
Sweden,England,First year,2015/16,885.000
Sweden,England,Other years,2015/16,1205.000
Sweden,England,All,2015/16,2090.000
Sweden,England,First year,2014/15,965.000
Sweden,England,Other years,2014/15,1225.000
Sweden,England,All,2014/15,2190.000
Sweden,England,First year,2013/14,955.000
Sweden,England,Other years,2013/14,1380.000
Sweden,England,All,2013/14,2335.000
Sweden,England,First year,2012/13,945.000
Sweden,England,Other years,2012/13,1535.000
Sweden,England,All,2012/13,2480.000
Sweden,Northern Ireland,First year,2016/17,5.000
Sweden,Northern Ireland,Other years,2016/17,5.000
Sweden,Northern Ireland,All,2016/17,10.000
Sweden,Northern Ireland,First year,2015/16,5.000
Sweden,Northern Ireland,Other years,2015/16,10.000
Sweden,Northern Ireland,All,2015/16,15.000
Sweden,Northern Ireland,First year,2014/15,5.000
Sweden,Northern Ireland,Other years,2014/15,10.000
Sweden,Northern Ireland,All,2014/15,15.000
Sweden,Northern Ireland,First year,2013/14,10.000
Sweden,Northern Ireland,Other years,2013/14,5.000
Sweden,Northern Ireland,All,2013/14,15.000
Sweden,Northern Ireland,First year,2012/13,5.000
Sweden,Northern Ireland,Other years,2012/13,0.000
Sweden,Northern Ireland,All,2012/13,10.000
Sweden,Scotland,First year,2016/17,280.000
Sweden,Scotland,Other years,2016/17,540.000
Sweden,Scotland,All,2016/17,820.000
Sweden,Scotland,First year,2015/16,270.000
Sweden,Scotland,Other years,2015/16,580.000
Sweden,Scotland,All,2015/16,850.000
Sweden,Scotland,First year,2014/15,290.000
Sweden,Scotland,Other years,2014/15,555.000
Sweden,Scotland,All,2014/15,845.000
Sweden,Scotland,First year,2013/14,315.000
Sweden,Scotland,Other years,2013/14,520.000
Sweden,Scotland,All,2013/14,830.000
Sweden,Scotland,First year,2012/13,305.000
Sweden,Scotland,Other years,2012/13,470.000
Sweden,Scotland,All,2012/13,775.000
Sweden,Wales,First year,2016/17,30.000
Sweden,Wales,Other years,2016/17,35.000
Sweden,Wales,All,2016/17,65.000
Sweden,Wales,First year,2015/16,35.000
Sweden,Wales,Other years,2015/16,25.000
Sweden,Wales,All,2015/16,60.000
Sweden,Wales,First year,2014/15,25.000
Sweden,Wales,Other years,2014/15,25.000
Sweden,Wales,All,2014/15,45.000
Sweden,Wales,First year,2013/14,20.000
Sweden,Wales,Other years,2013/14,30.000
Sweden,Wales,All,2013/14,50.000
Sweden,Wales,First year,2012/13,20.000
Sweden,Wales,Other years,2012/13,30.000
Sweden,Wales,All,2012/13,50.000
Åland Islands,All,All,2016/17,5.000
Åland Islands,All,First year,2016/17,0.000
Åland Islands,All,Other years,2016/17,5.000
Åland Islands,All,All,2015/16,5.000
Åland Islands,All,First year,2015/16,5.000
Åland Islands,All,Other years,2015/16,5.000
Åland Islands,All,All,2014/15,5.000
Åland Islands,All,First year,2014/15,5.000
Åland Islands,All,Other years,2014/15,5.000
Åland Islands,All,All,2013/14,5.000
Åland Islands,All,First year,2013/14,5.000
Åland Islands,All,Other years,2013/14,0.000
Åland Islands,All,All,2012/13,5.000
Åland Islands,All,First year,2012/13,5.000
Åland Islands,All,Other years,2012/13,0.000
Åland Islands,England,First year,2016/17,0.000
Åland Islands,England,Other years,2016/17,5.000
Åland Islands,England,All,2016/17,5.000
Åland Islands,England,First year,2015/16,0.000
Åland Islands,England,Other years,2015/16,0.000
Åland Islands,England,All,2015/16,5.000
Åland Islands,England,First year,2014/15,5.000
Åland Islands,England,Other years,2014/15,0.000
Åland Islands,England,All,2014/15,5.000
Åland Islands,England,First year,2013/14,0.000
Åland Islands,England,Other years,2013/14,0.000
Åland Islands,England,All,2013/14,0.000
Åland Islands,England,First year,2012/13,0.000
Åland Islands,England,Other years,2012/13,0.000
Åland Islands,England,All,2012/13,0.000
Åland Islands,Northern Ireland,First year,2016/17,0.000
Åland Islands,Northern Ireland,Other years,2016/17,0.000
Åland Islands,Northern Ireland,All,2016/17,0.000
Åland Islands,Northern Ireland,First year,2015/16,0.000
Åland Islands,Northern Ireland,Other years,2015/16,0.000
Åland Islands,Northern Ireland,All,2015/16,0.000
Åland Islands,Northern Ireland,First year,2014/15,0.000
Åland Islands,Northern Ireland,Other years,2014/15,0.000
Åland Islands,Northern Ireland,All,2014/15,0.000
Åland Islands,Northern Ireland,First year,2013/14,0.000
Åland Islands,Northern Ireland,Other years,2013/14,0.000
Åland Islands,Northern Ireland,All,2013/14,0.000
Åland Islands,Northern Ireland,First year,2012/13,0.000
Åland Islands,Northern Ireland,Other years,2012/13,0.000
Åland Islands,Northern Ireland,All,2012/13,0.000
Åland Islands,Scotland,First year,2016/17,0.000
Åland Islands,Scotland,Other years,2016/17,5.000
Åland Islands,Scotland,All,2016/17,5.000
Åland Islands,Scotland,First year,2015/16,0.000
Åland Islands,Scotland,Other years,2015/16,0.000
Åland Islands,Scotland,All,2015/16,0.000
Åland Islands,Scotland,First year,2014/15,0.000
Åland Islands,Scotland,Other years,2014/15,0.000
Åland Islands,Scotland,All,2014/15,0.000
Åland Islands,Scotland,First year,2013/14,5.000
Åland Islands,Scotland,Other years,2013/14,0.000
Åland Islands,Scotland,All,2013/14,5.000
Åland Islands,Scotland,First year,2012/13,0.000
Åland Islands,Scotland,Other years,2012/13,0.000
Åland Islands,Scotland,All,2012/13,5.000
Åland Islands,Wales,First year,2016/17,0.000
Åland Islands,Wales,Other years,2016/17,0.000
Åland Islands,Wales,All,2016/17,0.000
Åland Islands,Wales,First year,2015/16,0.000
Åland Islands,Wales,Other years,2015/16,0.000
Åland Islands,Wales,All,2015/16,0.000
Åland Islands,Wales,First year,2014/15,0.000
Åland Islands,Wales,Other years,2014/15,0.000
Åland Islands,Wales,All,2014/15,0.000
Åland Islands,Wales,First year,2013/14,0.000
Åland Islands,Wales,Other years,2013/14,0.000
Åland Islands,Wales,All,2013/14,0.000
Åland Islands,Wales,First year,2012/13,0.000
Åland Islands,Wales,Other years,2012/13,0.000
Åland Islands,Wales,All,2012/13,0.000
