Title,Top ten European-Union countries of domicile (excluding the UK) in 2016/17 for HE student enrolments,,,
Location,UK,,,
Time period,2012/13 to 2016/17,,,
Data source,HESA,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sfr247/figure-10,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sfr247/figure-10.csv,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,
Code page,ISO 8859-1,,,
Last updated,Jan-18,,,
,,,,
Country of domicile,Country of HE provider,First year marker,Academic year,Student count
Croatia,Wales,All,2016/17,40.000
Croatia,Wales,First year,2015/16,15.000
Croatia,Wales,Other years,2015/16,10.000
Croatia,Wales,All,2015/16,25.000
Croatia,Wales,First year,2014/15,10.000
Croatia,Wales,Other years,2014/15,5.000
Croatia,Wales,All,2014/15,15.000
Croatia,Wales,First year,2013/14,5.000
Croatia,Wales,Other years,2013/14,0.000
Croatia,Wales,All,2013/14,5.000
Croatia,Wales,First year,2012/13,0.000
Croatia,Wales,Other years,2012/13,0.000
Croatia,Wales,All,2012/13,0.000
Cyprus (European Union),All,All,2016/17,9145.000
Cyprus (European Union),All,First year,2016/17,3590.000
Cyprus (European Union),All,Other years,2016/17,5555.000
Cyprus (European Union),All,All,2015/16,9330.000
Cyprus (European Union),All,First year,2015/16,3765.000
Cyprus (European Union),All,Other years,2015/16,5565.000
Cyprus (European Union),All,All,2014/15,9745.000
Cyprus (European Union),All,First year,2014/15,3960.000
Cyprus (European Union),All,Other years,2014/15,5780.000
Cyprus (European Union),All,All,2013/14,10290.000
Cyprus (European Union),All,First year,2013/14,4045.000
Cyprus (European Union),All,Other years,2013/14,6245.000
Cyprus (European Union),All,All,2012/13,10825.000
Cyprus (European Union),All,First year,2012/13,4040.000
Cyprus (European Union),All,Other years,2012/13,6785.000
Cyprus (European Union),England,First year,2016/17,3125.000
Cyprus (European Union),England,Other years,2016/17,4815.000
Cyprus (European Union),England,All,2016/17,7940.000
Cyprus (European Union),England,First year,2015/16,3370.000
Cyprus (European Union),England,Other years,2015/16,4915.000
Cyprus (European Union),England,All,2015/16,8285.000
Cyprus (European Union),England,First year,2014/15,3555.000
Cyprus (European Union),England,Other years,2014/15,5240.000
